LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
KOR,CPI,TOT,AGRWTH,M,2004-03,3.065654,
KOR,CPI,TOT,AGRWTH,M,2004-04,3.251416,
KOR,CPI,TOT,AGRWTH,M,2004-05,3.349001,
KOR,CPI,TOT,AGRWTH,M,2004-06,3.631165,
KOR,CPI,TOT,AGRWTH,M,2004-07,4.359269,
KOR,CPI,TOT,AGRWTH,M,2004-08,4.790608,
KOR,CPI,TOT,AGRWTH,M,2004-09,3.850902,
KOR,CPI,TOT,AGRWTH,M,2004-10,3.759622,
KOR,CPI,TOT,AGRWTH,M,2004-11,3.318989,
KOR,CPI,TOT,AGRWTH,M,2004-12,3.035487,
KOR,CPI,TOT,AGRWTH,M,2005-01,3.403024,
KOR,CPI,TOT,AGRWTH,M,2005-02,3.364248,
KOR,CPI,TOT,AGRWTH,M,2005-03,2.988321,
KOR,CPI,TOT,AGRWTH,M,2005-04,3.092227,
KOR,CPI,TOT,AGRWTH,M,2005-05,3.076859,
KOR,CPI,TOT,AGRWTH,M,2005-06,2.766261,
KOR,CPI,TOT,AGRWTH,M,2005-07,2.552335,
KOR,CPI,TOT,AGRWTH,M,2005-08,1.974286,
KOR,CPI,TOT,AGRWTH,M,2005-09,2.482546,
KOR,CPI,TOT,AGRWTH,M,2005-10,2.278969,
KOR,CPI,TOT,AGRWTH,M,2005-11,2.489347,
KOR,CPI,TOT,AGRWTH,M,2005-12,2.61811,
KOR,CPI,TOT,AGRWTH,M,2006-01,2.224366,
KOR,CPI,TOT,AGRWTH,M,2006-02,2.015103,
KOR,CPI,TOT,AGRWTH,M,2006-03,2.003013,
KOR,CPI,TOT,AGRWTH,M,2006-04,2.000994,
KOR,CPI,TOT,AGRWTH,M,2006-05,2.302994,
KOR,CPI,TOT,AGRWTH,M,2006-06,2.4125,
KOR,CPI,TOT,AGRWTH,M,2006-07,2.400118,
KOR,CPI,TOT,AGRWTH,M,2006-08,2.69173,
KOR,CPI,TOT,AGRWTH,M,2006-09,2.479736,
KOR,CPI,TOT,AGRWTH,M,2006-10,2.186778,
KOR,CPI,TOT,AGRWTH,M,2006-11,2.097611,
KOR,CPI,TOT,AGRWTH,M,2006-12,2.089991,
KOR,CPI,TOT,AGRWTH,M,2007-01,1.681488,
KOR,CPI,TOT,AGRWTH,M,2007-02,2.170308,
KOR,CPI,TOT,AGRWTH,M,2007-03,2.158862,
KOR,CPI,TOT,AGRWTH,M,2007-04,2.449211,
KOR,CPI,TOT,AGRWTH,M,2007-05,2.348455,
KOR,CPI,TOT,AGRWTH,M,2007-06,2.548023,
KOR,CPI,TOT,AGRWTH,M,2007-07,2.539403,
KOR,CPI,TOT,AGRWTH,M,2007-08,2.039272,
KOR,CPI,TOT,AGRWTH,M,2007-09,2.324764,
KOR,CPI,TOT,AGRWTH,M,2007-10,3.015844,
KOR,CPI,TOT,AGRWTH,M,2007-11,3.517898,
KOR,CPI,TOT,AGRWTH,M,2007-12,3.605857,
KOR,CPI,TOT,AGRWTH,M,2008-01,3.890399,
KOR,CPI,TOT,AGRWTH,M,2008-02,3.575834,
KOR,CPI,TOT,AGRWTH,M,2008-03,3.938604,
KOR,CPI,TOT,AGRWTH,M,2008-04,4.116459,
KOR,CPI,TOT,AGRWTH,M,2008-05,4.874351,
KOR,CPI,TOT,AGRWTH,M,2008-06,5.543707,
KOR,CPI,TOT,AGRWTH,M,2008-07,5.90396,
KOR,CPI,TOT,AGRWTH,M,2008-08,5.613236,
KOR,CPI,TOT,AGRWTH,M,2008-09,5.108385,
KOR,CPI,TOT,AGRWTH,M,2008-10,4.815806,
KOR,CPI,TOT,AGRWTH,M,2008-11,4.532822,
KOR,CPI,TOT,AGRWTH,M,2008-12,4.139012,
KOR,CPI,TOT,AGRWTH,M,2009-01,3.747232,
KOR,CPI,TOT,AGRWTH,M,2009-02,4.104249,
KOR,CPI,TOT,AGRWTH,M,2009-03,3.881264,
KOR,CPI,TOT,AGRWTH,M,2009-04,3.581927,
KOR,CPI,TOT,AGRWTH,M,2009-05,2.734289,
KOR,CPI,TOT,AGRWTH,M,2009-06,1.992672,
KOR,CPI,TOT,AGRWTH,M,2009-07,1.618186,
KOR,CPI,TOT,AGRWTH,M,2009-08,2.16228,
KOR,CPI,TOT,AGRWTH,M,2009-09,2.160318,
KOR,CPI,TOT,AGRWTH,M,2009-10,1.981888,
KOR,CPI,TOT,AGRWTH,M,2009-11,2.438847,
KOR,CPI,TOT,AGRWTH,M,2009-12,2.800607,
KOR,CPI,TOT,AGRWTH,M,2010-01,3.518496,
KOR,CPI,TOT,AGRWTH,M,2010-02,2.983924,
KOR,CPI,TOT,AGRWTH,M,2010-03,2.458154,
KOR,CPI,TOT,AGRWTH,M,2010-04,2.598316,
KOR,CPI,TOT,AGRWTH,M,2010-05,2.702058,
KOR,CPI,TOT,AGRWTH,M,2010-06,2.688929,
KOR,CPI,TOT,AGRWTH,M,2010-07,2.530742,
KOR,CPI,TOT,AGRWTH,M,2010-08,2.681788,
KOR,CPI,TOT,AGRWTH,M,2010-09,3.407571,
KOR,CPI,TOT,AGRWTH,M,2010-10,3.682555,
KOR,CPI,TOT,AGRWTH,M,2010-11,2.988718,
KOR,CPI,TOT,AGRWTH,M,2010-12,3.033703,
KOR,CPI,TOT,AGRWTH,M,2011-01,3.441084,
KOR,CPI,TOT,AGRWTH,M,2011-02,3.939291,
KOR,CPI,TOT,AGRWTH,M,2011-03,4.133215,
KOR,CPI,TOT,AGRWTH,M,2011-04,3.816785,
KOR,CPI,TOT,AGRWTH,M,2011-05,3.91162,
KOR,CPI,TOT,AGRWTH,M,2011-06,4.217757,
KOR,CPI,TOT,AGRWTH,M,2011-07,4.509708,
KOR,CPI,TOT,AGRWTH,M,2011-08,4.685678,
KOR,CPI,TOT,AGRWTH,M,2011-09,3.759002,
KOR,CPI,TOT,AGRWTH,M,2011-10,3.562064,
KOR,CPI,TOT,AGRWTH,M,2011-11,4.174625,
KOR,CPI,TOT,AGRWTH,M,2011-12,4.158119,
KOR,CPI,TOT,AGRWTH,M,2012-01,3.345868,
KOR,CPI,TOT,AGRWTH,M,2012-02,3.032894,
KOR,CPI,TOT,AGRWTH,M,2012-03,2.662543,
KOR,CPI,TOT,AGRWTH,M,2012-04,2.552477,
KOR,CPI,TOT,AGRWTH,M,2012-05,2.538633,
KOR,CPI,TOT,AGRWTH,M,2012-06,2.195829,
KOR,CPI,TOT,AGRWTH,M,2012-07,1.476105,
KOR,CPI,TOT,AGRWTH,M,2012-08,1.265613,
KOR,CPI,TOT,AGRWTH,M,2012-09,2.087839,
KOR,CPI,TOT,AGRWTH,M,2012-10,2.090704,
KOR,CPI,TOT,AGRWTH,M,2012-11,1.631431,
KOR,CPI,TOT,AGRWTH,M,2012-12,1.426072,
KOR,CPI,TOT,AGRWTH,M,2013-01,1.628636,
KOR,CPI,TOT,AGRWTH,M,2013-02,1.583177,
KOR,CPI,TOT,AGRWTH,M,2013-03,1.460475,
KOR,CPI,TOT,AGRWTH,M,2013-04,1.329622,
KOR,CPI,TOT,AGRWTH,M,2013-05,1.148536,
KOR,CPI,TOT,AGRWTH,M,2013-06,1.168716,
KOR,CPI,TOT,AGRWTH,M,2013-07,1.615408,
KOR,CPI,TOT,AGRWTH,M,2013-08,1.505634,
KOR,CPI,TOT,AGRWTH,M,2013-09,0.9804134,
KOR,CPI,TOT,AGRWTH,M,2013-10,0.860958,
KOR,CPI,TOT,AGRWTH,M,2013-11,1.200943,
KOR,CPI,TOT,AGRWTH,M,2013-12,1.143477,
USA,CPI,TOT,AGRWTH,M,2004-03,1.737242,
USA,CPI,TOT,AGRWTH,M,2004-04,2.285093,
USA,CPI,TOT,AGRWTH,M,2004-05,3.051771,
USA,CPI,TOT,AGRWTH,M,2004-06,3.266195,
USA,CPI,TOT,AGRWTH,M,2004-07,2.990756,
USA,CPI,TOT,AGRWTH,M,2004-08,2.654388,
USA,CPI,TOT,AGRWTH,M,2004-09,2.537797,
USA,CPI,TOT,AGRWTH,M,2004-10,3.189189,
USA,CPI,TOT,AGRWTH,M,2004-11,3.523035,
USA,CPI,TOT,AGRWTH,M,2004-12,3.255562,
USA,CPI,TOT,AGRWTH,M,2005-01,2.969762,
USA,CPI,TOT,AGRWTH,M,2005-02,3.007519,
USA,CPI,TOT,AGRWTH,M,2005-03,3.148346,
USA,CPI,TOT,AGRWTH,M,2005-04,3.510638,
USA,CPI,TOT,AGRWTH,M,2005-05,2.80275,
USA,CPI,TOT,AGRWTH,M,2005-06,2.530311,
USA,CPI,TOT,AGRWTH,M,2005-07,3.167899,
USA,CPI,TOT,AGRWTH,M,2005-08,3.641161,
USA,CPI,TOT,AGRWTH,M,2005-09,4.686677,
USA,CPI,TOT,AGRWTH,M,2005-10,4.347826,
USA,CPI,TOT,AGRWTH,M,2005-11,3.455497,
USA,CPI,TOT,AGRWTH,M,2005-12,3.415659,
USA,CPI,TOT,AGRWTH,M,2006-01,3.985317,
USA,CPI,TOT,AGRWTH,M,2006-02,3.597497,
USA,CPI,TOT,AGRWTH,M,2006-03,3.362649,
USA,CPI,TOT,AGRWTH,M,2006-04,3.545735,
USA,CPI,TOT,AGRWTH,M,2006-05,4.166667,
USA,CPI,TOT,AGRWTH,M,2006-06,4.318766,
USA,CPI,TOT,AGRWTH,M,2006-07,4.145343,
USA,CPI,TOT,AGRWTH,M,2006-08,3.818737,
USA,CPI,TOT,AGRWTH,M,2006-09,2.062374,
USA,CPI,TOT,AGRWTH,M,2006-10,1.305221,
USA,CPI,TOT,AGRWTH,M,2006-11,1.973684,
USA,CPI,TOT,AGRWTH,M,2006-12,2.54065,
USA,CPI,TOT,AGRWTH,M,2007-01,2.075643,
USA,CPI,TOT,AGRWTH,M,2007-02,2.415199,
USA,CPI,TOT,AGRWTH,M,2007-03,2.778779,
USA,CPI,TOT,AGRWTH,M,2007-04,2.573697,
USA,CPI,TOT,AGRWTH,M,2007-05,2.690864,
USA,CPI,TOT,AGRWTH,M,2007-06,2.687038,
USA,CPI,TOT,AGRWTH,M,2007-07,2.358231,
USA,CPI,TOT,AGRWTH,M,2007-08,1.970083,
USA,CPI,TOT,AGRWTH,M,2007-09,2.755052,
USA,CPI,TOT,AGRWTH,M,2007-10,3.536175,
USA,CPI,TOT,AGRWTH,M,2007-11,4.306203,
USA,CPI,TOT,AGRWTH,M,2007-12,4.081269,
USA,CPI,TOT,AGRWTH,M,2008-01,4.280294,
USA,CPI,TOT,AGRWTH,M,2008-02,4.026556,
USA,CPI,TOT,AGRWTH,M,2008-03,3.981456,
USA,CPI,TOT,AGRWTH,M,2008-04,3.93689,
USA,CPI,TOT,AGRWTH,M,2008-05,4.175543,
USA,CPI,TOT,AGRWTH,M,2008-06,5.02179,
USA,CPI,TOT,AGRWTH,M,2008-07,5.600123,
USA,CPI,TOT,AGRWTH,M,2008-08,5.371855,
USA,CPI,TOT,AGRWTH,M,2008-09,4.936927,
USA,CPI,TOT,AGRWTH,M,2008-10,3.655186,
USA,CPI,TOT,AGRWTH,M,2008-11,1.069575,
USA,CPI,TOT,AGRWTH,M,2008-12,0.0914129,
USA,CPI,TOT,AGRWTH,M,2009-01,0.0298465,
USA,CPI,TOT,AGRWTH,M,2009-02,0.2361911,
USA,CPI,TOT,AGRWTH,M,2009-03,-0.3835562,
USA,CPI,TOT,AGRWTH,M,2009-04,-0.7368857,
USA,CPI,TOT,AGRWTH,M,2009-05,-1.281436,
USA,CPI,TOT,AGRWTH,M,2009-06,-1.426776,
USA,CPI,TOT,AGRWTH,M,2009-07,-2.097161,
USA,CPI,TOT,AGRWTH,M,2009-08,-1.484349,
USA,CPI,TOT,AGRWTH,M,2009-09,-1.286206,
USA,CPI,TOT,AGRWTH,M,2009-10,-0.1828483,
USA,CPI,TOT,AGRWTH,M,2009-11,1.838296,
USA,CPI,TOT,AGRWTH,M,2009-12,2.721331,
USA,CPI,TOT,AGRWTH,M,2010-01,2.625709,
USA,CPI,TOT,AGRWTH,M,2010-02,2.143332,
USA,CPI,TOT,AGRWTH,M,2010-03,2.313959,
USA,CPI,TOT,AGRWTH,M,2010-04,2.236447,
USA,CPI,TOT,AGRWTH,M,2010-05,2.020986,
USA,CPI,TOT,AGRWTH,M,2010-06,1.053349,
USA,CPI,TOT,AGRWTH,M,2010-07,1.235193,
USA,CPI,TOT,AGRWTH,M,2010-08,1.148105,
USA,CPI,TOT,AGRWTH,M,2010-09,1.143683,
USA,CPI,TOT,AGRWTH,M,2010-10,1.172188,
USA,CPI,TOT,AGRWTH,M,2010-11,1.143161,
USA,CPI,TOT,AGRWTH,M,2010-12,1.495723,
USA,CPI,TOT,AGRWTH,M,2011-01,1.631847,
USA,CPI,TOT,AGRWTH,M,2011-02,2.107585,
USA,CPI,TOT,AGRWTH,M,2011-03,2.681603,
USA,CPI,TOT,AGRWTH,M,2011-04,3.163631,
USA,CPI,TOT,AGRWTH,M,2011-05,3.568646,
USA,CPI,TOT,AGRWTH,M,2011-06,3.558828,
USA,CPI,TOT,AGRWTH,M,2011-07,3.628716,
USA,CPI,TOT,AGRWTH,M,2011-08,3.771208,
USA,CPI,TOT,AGRWTH,M,2011-09,3.868357,
USA,CPI,TOT,AGRWTH,M,2011-10,3.5252,
USA,CPI,TOT,AGRWTH,M,2011-11,3.394378,
USA,CPI,TOT,AGRWTH,M,2011-12,2.962419,
USA,CPI,TOT,AGRWTH,M,2012-01,2.925217,
USA,CPI,TOT,AGRWTH,M,2012-02,2.871099,
USA,CPI,TOT,AGRWTH,M,2012-03,2.651398,
USA,CPI,TOT,AGRWTH,M,2012-04,2.30274,
USA,CPI,TOT,AGRWTH,M,2012-05,1.704254,
USA,CPI,TOT,AGRWTH,M,2012-06,1.663994,
USA,CPI,TOT,AGRWTH,M,2012-07,1.408451,
USA,CPI,TOT,AGRWTH,M,2012-08,1.692379,
USA,CPI,TOT,AGRWTH,M,2012-09,1.991282,
USA,CPI,TOT,AGRWTH,M,2012-10,2.162344,
USA,CPI,TOT,AGRWTH,M,2012-11,1.764134,
USA,CPI,TOT,AGRWTH,M,2012-12,1.741022,
USA,CPI,TOT,AGRWTH,M,2013-01,1.594865,
USA,CPI,TOT,AGRWTH,M,2013-02,1.977924,
USA,CPI,TOT,AGRWTH,M,2013-03,1.473896,
USA,CPI,TOT,AGRWTH,M,2013-04,1.063085,
USA,CPI,TOT,AGRWTH,M,2013-05,1.361965,
USA,CPI,TOT,AGRWTH,M,2013-06,1.754417,
USA,CPI,TOT,AGRWTH,M,2013-07,1.960682,
USA,CPI,TOT,AGRWTH,M,2013-08,1.518368,
USA,CPI,TOT,AGRWTH,M,2013-09,1.184925,
USA,CPI,TOT,AGRWTH,M,2013-10,0.9636127,
USA,CPI,TOT,AGRWTH,M,2013-11,1.237072,
USA,CPI,TOT,AGRWTH,M,2013-12,1.501736,
